species_name,paper_taxon,age_association_in_paper,butyrate_relevance,lysine_relevance,other_relevant_note
Alistipes onderdonkii,Alistipes onderdonkii,enriched_with_age,"Relevant to alternate butyrate-related metabolism in older age groups","Alistipes species are discussed as amino-acid fermenters linked to lysine use and lysine-to-butyrate conversion potential","Also noted as enriched in Italian centenarians"
Alistipes shahii,Alistipes shahii,enriched_with_age,"Strong older-age alternate butyrate-related candidate","Alistipes species are described as amino-acid fermenters linked to lysine and butyrate production from lysine substrate","Explicitly highlighted as an age-enriched species"
Bacteroides dorei,Bacteroides dorei,enriched_with_age,"Relevant indirectly to older butyrate-related potential","Bacteroides species are described as dominant contributors to lysine biosynthesis pathways","Best framed as lysine-support rather than direct butyrate producer"
Bacteroides xylanisolvens,Bacteroides xylanisolvens,enriched_with_age,"Relevant indirectly to older alternate butyrate-related potential","Strongly relevant to lysine biosynthesis support; Bacteroides contribution to lysine biosynthesis is emphasized and this species increases with age","One of the paper's key age-enriched species"
Bilophila wadsworthia,Bilophila unclassified,depleted_with_age,"Not central to the paper's butyrate argument","No specific lysine role highlighted","Represented in the paper as Bilophila unclassified; mainly relevant as an age-depleted taxon"
Escherichia coli,Escherichia coli,enriched_with_age,"Not central to butyrate interpretation","No specific lysine role highlighted","Associated with hs-CRP/systemic inflammation in the paper"
Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,depleted_with_age,"Main classical butyrate-producer reference in this 10-species set; linked to the pyruvate-to-butyrate side","Not framed as lysine-linked in this paper","One of the clearest younger-associated butyrate species"
Klebsiella pneumoniae,Klebsiella pneumoniae,enriched_with_age,"Not a butyrate-focus species in the paper","No specific lysine role highlighted","Highlighted as a pathobiont and associated with AST/liver-health marker"
Parabacteroides merdae,Parabacteroides merdae,enriched_with_age,"Not a central butyrate species in the paper","No specific lysine role highlighted","Relevant as an age-enriched species but not part of the core lysine/butyrate mechanism discussion"
Ruminococcus torques,Ruminococcus torques,depleted_with_age,"Potentially part of the younger/depleted side but less emphasized than Faecalibacterium prausnitzii for butyrate","No specific lysine role highlighted","Best described cautiously as age-depleted rather than a headline butyrate species"
